,NOM,FORMAT,#catalogue1,#catalogue2,fournisseur2,fournisseur1,prix
four. bureau,Cartouche à jet d'encre HP Magenta,labo9e,3002803,HEWC4837AN,,GRM,34.57
four. bureau,Cartouche à jet d'encre HP noir ,labo9e,3002801,HEWC4844A ,Corporate Express,GRM,34.57
four. bureau,Cartouche à jet d'encre HP yellow,labo9e,3002804,HEWC4838AN,HP,GRM,34.57
four. bureau,Cartouche d'encre HP 4000&4050,salle13e,26238,C4127X,,GRM,142.92
four. bureau,Cartouche d'encre HP C4096A,labo10e,26120,19639,axidata,GRM,99.25
four. bureau,Cartouche d'encre HP C7115A,linda&claire,74815,18210,axidata,GRM,94.56
four. bureau,Cartouche d'encre HP Q2612A,rafick,3032966,18837,axidata,GRM,75.59
four. bureau,Cartouche d'encre tektronik phaser 8200 cyan,carmen,3025175,18443,axidata,GRM,224.75
four. bureau,Cartouche d'encre tektronix phaser 8200 magenta,carmen,3034554,18444,axidata,GRM,267.95
four. bureau,Cartouche d'encre tektronix phaser 8200 noir,carmen,3025174,18442,axidata,GRM,104
four. bureau,Cartouche d'encre tektronix phaser 8200 yellow,carmen,3034402,18445,axidata,GRM,297.53
four. bureau,Cartouche d'encre Xerox 8400 cyan,claire,,108r00605,Xerox,GRM,225.3
four. bureau,Cartouche d'encre Xerox 8400 magenta,claire,,108r00606,Xerox,GRM,225.3
four. bureau,Cartouche d'encre Xerox 8400 noir,claire,3025148,108r00608,Xerox,GRM,108.92
four. bureau,Cartouche d'encre Xerox 8400 yellow,claire,,108r00607,Xerox,GRM,225.3
four. bureau,Cartouche d'encre Xerox N2125,,3015577,18042,axidata,GRM,256
four. labo,casting frame for miniprotean 3,1,,165-3304,Bio-Rad,GRM,37
four. bureau,Chemise à dossier bleu,BTE/100,3008514,,Corporate Express,GRM,12.15
four. bureau,Chemise à dossier format lettre orange,bte/100,3003663,,Corporate Express,GRM,12.15
four. bureau,chemise a dossier jaune,bte/100,3009731,,Corporate Express,GRM,12.15
anticorps&autres,Chlorure de Cesium grade,1kg,3020611,CES 001,Bioshop,GRM,161
anticorps&autres,CHO-S-SFM II,1 L,3028219,12052-098,Invitrogen,GRM,88.05
anticorps&autres,ClaI,1000U,3007846,r0197s,,GRM,79.2
four. bureau,colle en baton,,26313,,Corporate Express,GRM,1.9
plastique,"Combs, 10 Wells ( 1.5 mm)",2,3021825,165-3365,Bio-Rad,GRM,33
plastique,"Combs, Protean II xi, 5 W, 1.5 mm",1,,165-1883,Bio-Rad,GRM,67
four. labo,Complete protease inhibitor,20 tablets,3008390,1697498,roche diagnostics,GRM,283
four. labo,Compresses tout usage 4 épaisseurs stérile 4x4,cs/24,5120,,kendall,GRM,90
four. labo,"Compresses tout usage 4 X4, non-stérile",cs/10,5114,,kendall,GRM,43.26
plastique,contenant pour déchets,6litre,26074,,,GRM,6.55
plastique,Contenant pour objet piquant 10-13litres,cs/10,26050,,,GRM,66.95
anticorps&autres,Coomassie brilliant Blue G-250,10 gr.,3010816,161-0406,Biorad,GRM,45
four. bureau,Couverture de présentation en vinyle,pk/50,58381,,,GRM,2.5
four. labo,Couvre Chaussure uniservice Extra Grand,bte/120,86933,,Dismed,GRM,60
four. labo,couvre chaussures,boites,5476,,,GRM,42.94
four. bureau,Crayon à mine Mirado,bte/12,26282,EXP13862,Corporate Express,GRM,1.21
four. labo,Cryo-étiquettes rondes couleurs assorties,1155/pack,3032902,lt-11-a,g.a. international,GRM,24.9
plastique,Cryovial,100/sac,3019809,03-337-7y,Fisher,GRM,247.32
plastique,cuvette  electroporation,pkg,3012125,165-2088,Bio-Rad,GRM,165
plastique,"Cuvette-Acryl,",bte/100,3012294,67.740,Sarstedt,GRM,16
anticorps&autres,Cyto-Stat mouse anti-human cd8-ecd,bte/50,3011510,6604728,,GRM,229.74
four. bureau,degrafeuse pince,unit,26186,ACMX550,Corporate Express,GRM,0.55
four. bureau,Dévidoir de ruban adhésif,unit,58420,,,GRM,2.09
anticorps&autres,D-glucose,1kg,3032253,"glu 501,1",Bioshop,GRM,15.5
anticorps&autres,DH5 Chemically Competent Cells,bout/2ml,52216,18265-017,Invitrogen,GRM,25
anticorps&autres,DIG RNA labeling mix,40µl,3003571,1 277 073,roche diagnostics,GRM,150
anticorps&autres,disposable PD-10 desalting column,bte/30,3019315,17-0851-01,,GRM,220.4
anticorps&autres,Dithiothratol (DTT),5 g,3025192,DTT 001,Bioshop,GRM,49
anticorps&autres,DNA Master hyb probes,480unt,3009004,2158825,roche diagnostics,GRM,953.7
anticorps&autres,"DNA polymerase I, large (klenow) fragment",200 u,52088,M0210S,NEB,GRM,72
anticorps&autres,Dnase,100units,67840,18068-015,Invitrogen,GRM,99.95
anticorps&autres,DNeasy tissue Kit,250test,3011191,69506,Qiagen,GRM,661
four. bureau,Dossier Suspendus format légal bleu,bte/25,58435,,Corporate Express,GRM,13.95
four. bureau,Dossier Suspendus format légal bourgogne,bte/25,58439,,Corporate Express,GRM,14.21
anticorps&autres,DpnI,1000U,3018855,r0176s,NEB,GRM,79.2
anticorps&autres,Dual blue Marker,500,3027510,161-0374,Invitrogen,GRM,136.8
anticorps&autres,EagI,500U,52064,r0505s,NEB,GRM,79.2
anticorps&autres,ECL PLus ( 3000 cm2),kt/3,3032651,rpn2133,amersham biosciences,GRM,393
anticorps&autres,EDTA EDT001,poudre,3032258,EDT001,Bioshop,GRM,25.6
plastique,Embout avec filtre P10,sac/480,3024277,70-130-410,,GRM,33.2
plastique,Embout P 1000 bleu,250,50164,70.762,Sarstedt,GRM,14.5
plastique,Embout P200 jaune,1000,50010,70-760-002,Sarstedt,GRM,10.48
plastique,Embouts avec filtre P10,bte/480,3011161,70.1130.410,Sarstedt,GRM,18
plastique,Embouts avec filtre P20,bte/480,3017716,70.760.413,Sarstedt,GRM,33.2
anticorps&autres,Endofree Plasmid Maxi Kit,10,79556,,,GRM,328
four. bureau,Enveloppe d'expédition  AirKraft 6 X 10-5/8,unit,58514,,,GRM,0.06
four. bureau,Enveloppe d'expédition AirKraft 8-1/2 X 12-5/8,unit,26157,,,GRM,0.11
four. bureau,enveloppe logo CHUM,bte 500,27155,,,GRM,11.85
four. bureau,Enveloppes à monnaie,bte/500,85906,,Corporate Express,GRM,23.1
plastique,Eppendorf .5ml,,3020947,72.735.002,Sarstedt,GRM,10
anticorps&autres,Ethanol 100 % (alcool ethylique anhydre),4 litres,259382,1019C,,GRM,15.25
four. labo,Etiquettes laser printer (36 x 14 mm),12 feuilles,3017661,CL-6W,g.a. international,GRM,47.6
four. labo,"Etiquettes, cryolabel (34 x 14 mm )",1140,3017661,CL-6W,g.a. international,GRM,47.6
anticorps&autres,ficoll,btle 500ml,3011524,25-072-cv,Wisent,GRM,79.25
anticorps&autres,Ficoll-Paque Plus,6 x 500 mL,67729,17-1440-03,,GRM,565.11
four. labo,Film pour plaques PCR,100p,,95.1994,Sarstedt,GRM,25
four. labo,Film-wrapPVC ( 18x3000 ),3roul,55861,,,GRM,14.08
plastique,Filtre  500 ml sans bouteille,bte/12,3001296,83.1823.101,Sarstedt,GRM,99
plastique,Fitres Steritop 250 ml,,3017970,28196-365,VWR,GRM,71.44
plastique,Flacon vaporisateur,pk/6,87192,,,GRM,27.84
gants,Gant d'examen sans poudre extra petit ajusté,pk/100,5237,,,GRM,4.7
gants,Gant d'examen sans poudre large,bte /100,5804,,,GRM,26.95
gants,Gant d'examen sans poudre Moyen,bte/100,5803,,,GRM,0.05
gants,Gant d'examen sans poudre petit,bte/100,5802,,,GRM,0.05
gants,gants nitrile n/sterile sans poudre extra-small,bte/100,6014,,,GRM,10.98
gants,gants Nitrile n/sterile sans poudre large,bte/100,66304,,,GRM,9.49
gants,gants Nitrile n/sterile sans poudre small,bte/100,66302,,,GRM,9.49
gants,gants nitrile n/sterile sans poudre x-large,bte90,67154,,,GRM,9.49
gants,Gants nitrilie n/stérile sans poudre moyen,bte/100,66303,,,GRM,8.75
plastique,Garrot n/sterile,unit,5050,,,GRM,0
anticorps&autres,GeneRuler™ 100bp DNA Ladder Plus,50 ug,52050,SM0321,,GRM,56
anticorps&autres,GFX,100,3002259,27-9602-01,Amersham,GRM,160.65
anticorps&autres,GFX PCR DNA,100,3002259,27-9602-01,amersham biosciences,GRM,176.3
four. labo,glace sèche,unit,41204, ,praxair,GRM,11
plastique,Glass Plates ( 10 x 8 cm ),10,,80-6136-81,amersham biosciences,GRM,82
anticorps&autres,Glycine,1 kg,68755,GLN 001,Bioshop,GRM,27
four. labo,Hemacytometer Bright-Line,unit,22313,2-671-5,Fisher,GRM,161.45
anticorps&autres,Hypochlorite (EAU DE JAVEL),3.6,26101,,,GRM,1.98
plastique,"Inner Plates, 16 x 20 cm",set/2,3011087,165-1821,Bio-Rad,GRM,45
four. bureau,"Intercalaires à onglets, lettre couleurs assorties",pk/8,86901,,Corporate Express,GRM,0.22
anticorps&autres,Isopropanol (isopropyl alcohol),4 litres,3025412,ISO 920,Bioshop,GRM,40
four. bureau,kit de maintenance phaser 8200 ,carmen,tek016193200,016-1933-00,Xerox,GRM,225
anticorps&autres,KpnI,3000U,52069,r0142s,NEB,GRM,72
anticorps&autres,L-35S Methionine (in Vitro translation grade),1mCi,3012015,SJ1515-1mCi,Amersham,GRM,131
anticorps&autres,Lab Tek Multi Purpose Container,pk/120,3020852,,,GRM,110.14
anticorps&autres,Lambda DNA,500 µg,52331,,,GRM,108.72
four. bureau,"Languette "" Sign here """,unit,58725,,,GRM,0
anticorps&autres,L-glutamine,100 mL,52161,25030-081,Invitrogen,GRM,12.5
anticorps&autres,Light cycler Fast Start DNA master sybr Green I,480,3017143,2239264,roche diagnostics,GRM,959.99
anticorps&autres,Light Cyclker Capillaries,8X96,3002089,1909339,roche diagnostics,GRM,519.75
anticorps&autres,LightCycler FastStart DNA Master SYBR Green I,1 kit (96 reactions),3001826,3003230,roche diagnostics,GRM,271.15
anticorps&autres,Lipofectamine 2000,750ul,88490,11668-027,Invitrogen,GRM,249.3
anticorps&autres,Lipofectamine Transfection Reagent,bte/125,3002148,18324-111,Invitrogen,GRM,149
four. bureau,Liquide correcteur blanc séchage rapide,unit,26166,PAP59032,Corporate Express,GRM,0.42
anticorps&autres,Lymphocyte separation medium,500ml,3011524,305-010 cl,Wisent,GRM,79.25
anticorps&autres,"Marker, prestained protein , Dual color",50 application,3027510,161-0374,Bio-Rad,GRM,136.8
four. labo,MASQUE 2 PLIS,bte/50 ,99459,,,GRM,21.45
anticorps&autres,Membrane Hybond C super,unit,3019947,RPN 203G,,GRM,318.6
anticorps&autres,Methanol,4 litres,3025709,MET302.404,Bioshop,GRM,89
plastique,Micro point avec filtre sur portoir,cs/480,3016859,70-1130-210,Sarstedt,GRM,40.8
plastique,Micro tube 0.5mL PP stéril avec bouchon,cs/1000,3032671,"72,730,105",Sarstedt,GRM,280
plastique,Microperfuseur 23G 3/4 reg. 2 ailettes,pk/50,5277,,,GRM,12
plastique,microtube 0.2ml stérile,250/pq,3030958,72.737,Sarstedt,GRM,14.75
plastique,Micro-tube 0.5 mL PP,cs/1000,89436,72.699,Sarstedt,GRM,28
plastique,Microtubes 1.5 ml-PP,cs/100,3008806,"72,692,005",Sarstedt,GRM,18
plastique,microvette 200,pk/100,3025393,20-1288-100,Sarstedt,GRM,42
anticorps&autres,Minimum Essential medium,Powder,61100-087,,Invitrogen,GRM,23.55
anticorps&autres,MluI,1000U,3020608,r0198s,,GRM,79.2
anticorps&autres,M-MLV reverse Transcriptase,,52185,28025-013,,GRM,139.95
plastique,Multiply ustrips chain of 8 tubes without lid,0.2ml,3019714,"72,985,002",Sarstedt,GRM,63
anticorps&autres,NBT/BCIP Stock Solution,8 ml,3024742,1 681 451,,GRM,76
anticorps&autres,Nhe I,1000 u,52073,R0131S,NEB,GRM,89
anticorps&autres,Nonidet P40,500ml,,non505,Bioshop,GRM,61
anticorps&autres,NotI,1000 u,3020605,15441-017,Invitrogen,GRM,83.85
anticorps&autres,NucliSens Lysis Buffer,50 tests,,284047,,GRM,672.11
anticorps&autres,Oligo (dt),25ug,3003632,18418-012,Invitrogen,GRM,109
anticorps&autres,Oligo (dt) 12-18 Primer,25ug,3013139,N420-01,Invitrogen,GRM,109
anticorps&autres,Oligotex direct mRNA mini kit,unit,3008791,72022,Qiagen,GRM,358
plastique,"Outer Plates, 18.3 x 20 cm",2,,165-1822,Bio-Rad,GRM,45
four. bureau,papier a lettre avec en-tete,pk/500,26524,,,GRM,8
four. labo,Papier aluminium,unit,55864,,,GRM,13.99
four. bureau,Papier Blanc,pk/500,26161,,,GRM,2.7
four. labo,Papier Bulle,Rouleau,3014501,,,GRM,19.25
four. labo,Papier Film Adherent (roul),cs/12,27115,,,GRM,3.29
four. bureau,papier mouchoir (kleenex),pk/48,66068,,,GRM,47
four. bureau,papier mouchoir (Kleenex),pk/48,69347,,,GRM,65.76
anticorps&autres,"PAXgene, Blood RNA Tube",50 tubes,3022105,762115,,GRM,460
anticorps&autres,PBS,10X 500 ml,52168,70013-032,,GRM,41.25
anticorps&autres,PBS 1X,10,3029731,20012-050,,GRM,57.55
four. labo,peigne pour electrophorèse 20dents,unit,3002236,170-4448,,GRM,66
four. labo,peigne pour electrophorèse 30dents,unit,87075,170-4449,,GRM,66
four. labo,peigne préparatif,unit,,170-4442,Bio-Rad,GRM,66
four. labo,"Peignes, Teflon. 10 w, 1.5 mm",unit,,80-6139-09,amersham biosciences,GRM,37
four. bureau,Pile AAA,unit,26053,,,GRM,0.33
four. labo,Pile pour chronometre Duracell Oxide,pk/6,86661,13710-950,VWR,GRM,15.17
four. bureau,Pince-notes repliables,unit,26208,,,GRM,0.73
four. bureau,Pinces notes,unit,26893,,,GRM,0
plastique,Pipette 10 ml,cs/500,87579,86.1254.001,Sarstedt,GRM,88
plastique,Pipette 25 ml,cs/500,3021999,,Sarstedt,GRM,98
plastique,Pipette 5ml,cs/500,89417,86.1253.001,Sarstedt,GRM,90
plastique,Plates short,pk/5,3012134,165-3308,,GRM,27
anticorps&autres,Platinium taq DNA high fidelity,500rxns,,11304-029,,GRM,612.86
anticorps&autres,Pme I,500 u,88663,RO560S,NEB,GRM,86.4
anticorps&autres,Poly (I) -Poly (C),50mg,,27-4729-01,Amersham,GRM,145.6
plastique,Porte-tube à prélèvement regulier,unit,5187,,,GRM,0.28
plastique,portoir pour tubes 50ul,unit,,17-s600-30,ultident,GRM,15.95
plastique,portoir tubes 15ul,unit,,17-s600-16,ultident,GRM,15.95
plastique,portoir tubes snap cap,unit,,17-s600-13,ultident,GRM,15.95
anticorps&autres,"Prestained  protein  marker,all blue",0.5 ml,3020310,161-0373,Bio-Rad,GRM,138
anticorps&autres,"Prestained SDS-PAGE Standards, Broad Range",500uL,3012334,161-0318,Bio-Rad,GRM,144
anticorps&autres,protein A sepharose 4 fast flow,5mL,3028055,17-5280-01,,GRM,487
anticorps&autres,PROTEIN ASSAY,450ml,3000963,500-0006,Bio-Rad,GRM,115.62
anticorps&autres,Protéinase,100mg,52186,25530-015,Invitrogen,GRM,86.45
anticorps&autres,Protein-G Sepharose 4 fast flow,5 ml,3000611,17-0618-01,Amersham,GRM,509
anticorps&autres,QIAfilter Plasmid Maxi Kit,25,3000058,,,GRM,619
anticorps&autres,QIAprep miniprep 250,250,79534,27106,,GRM,396
anticorps&autres,Qiaprep Spin Miniprep kit (50),50,79533,27104,,GRM,89
anticorps&autres,QIAquick Gel Extraction Kit (50),kit,28704,,,GRM,107
anticorps&autres,QIAquick Gel Extraction Kit (50),kit,79537,28704,,GRM,110
anticorps&autres,QIAshredder,pk/500,3007877,79654,Qiagen,GRM,75
anticorps&autres,R Neasy mini kit,50 columns,3007878,74104,Qiagen,GRM,269
anticorps&autres,Raccord Luer pour aiguille,pk/100,5189,,,GRM,12
anticorps&autres,Random Primer,,67837,48190-011,Invitrogen,GRM,162
four. bureau,Règle,unit,26312,,Corporate Express,GRM,0.21
four. bureau,Reliure à anneaux 1-1/2,unit,66531,,Corporate Express,GRM,0
four. bureau,Reliure à anneaux en D 3',unit,86379,,Corporate Express,GRM,6.25
four. bureau,"Reliure à anneaux impact moulée  1.5""",unit,66355,WLJ43574,Corporate Express,GRM,3.14
four. bureau,Reliure à anneaux ronds,unit,26045,,Corporate Express,GRM,4.93
anticorps&autres,RNaseOut recomb Rnase Inhib,,67162,10777-019,Invitrogen,GRM,62
anticorps&autres,RNeasy Mini KIT QIAGEN,kit,3007878,74104,,GRM,269
four. bureau,Ruban a masquer 1 pouce,unit,26274,,Corporate Express,GRM,0.95
four. bureau,Ruban à masquer Clair,unit,26309,,Corporate Express,GRM,0.37
four. bureau,ruban adhesif transparent,unit,26271,,Corporate Express,GRM,0.68
four. bureau,Ruban adhésif transparent,unit,26270,,Corporate Express,GRM,0.66
four. bureau,ruban d'impressionTZ 12mm texte noir sur blanc,unit,59151,,Corporate Express,GRM,12.54
four. labo,SacII,2000U,52080,r0157s,NEB,GRM,72
four. labo,Sacs autoclavables,pk/100,3020953,,,GRM,59.73
four. labo,Saf T Pak Medi freeze Packaging System,each,87818,STP-300,,GRM,32.57
four. labo,Sarrau universel polyester-cotton,Large,67262,,,GRM,10.25
four. labo,Sarrau universel polyester-cotton,Medium,67263,,,GRM,10.25
anticorps&autres,Sbf I,250 unités,3023307,,,GRM,86.4
anticorps&autres,SDS,1kg,3032251,,,GRM,124
four. labo,"Seringues  a insuline 28G x .5""",pk/100,26943,,Source Médical,GRM,10.37
anticorps&autres,Sodium,10kg,3027209,sod001,,GRM,70
anticorps&autres,Sodium phosphate Dibasic,5kg,3025413,spd307,,GRM,95
anticorps&autres,"Spacer plates, 1 mm",pk/5,3017604,165-3311,,GRM,72
anticorps&autres,"Spacer plates,1.5 mm",pk/5,3019897,165-3312,,GRM,72
anticorps&autres,SpeI,500U,52082,r0133s,,GRM,79.2
anticorps&autres,Sph I,200 u,15413-016,,Invitrogen,GRM,61.5
anticorps&autres,Sporicidin Désinfectant,UN,22187,,,GRM,36.06
anticorps&autres,SspI,1000U,52100,,NEB,GRM,79.2
anticorps&autres,strip of 8 PCR caps,pk/120,3019715,"65,986,002",Sarstedt,GRM,20
four. bureau,stylo  à bille pointe fine bleu,pk/12,66620,,Corporate Express,GRM,0.6
four. bureau,Stylo pointe fine noir,pk/12,66621,,,GRM,0.53
four. bureau,Stylo rouge,,59305,,Corporate Express,GRM,0
four. labo,Sub-Cell GT UV-Transparent Gel Tray,1,3002235,170-4416,Bio-Rad,GRM,85.6
anticorps&autres,SuperScript™ III Reverse Transcriptase,"10,000 units",3017771,18080-044,Invitrogen,GRM,235.85
four. bureau,Surligneur jaune,unit,3016129,,Corporate Express,GRM,1.43
four. bureau,Tambour Pitney bowes modele 1630,unit,817-6,,axidata,GRM,208.8
four. bureau,Tambour Télécopieur Pitney Bowes,modèle 4016,26032,,axidata,GRM,187
anticorps&autres,Taq DNA polymerase,500 Unit,52191,18038-042,Invitrogen,GRM,138.86
anticorps&autres,ThermoScript™ Reverse Transcriptase,375 units,3028134,12236-014,Invitrogen,GRM,148.11
plastique,Tips avec filtres P200,sc/480,3017718,70.760.411,Sarstedt,GRM,34.79
plastique,Tips prot/electro,pk/1000,3018561,223-9915,Bio-Rad,GRM,59
anticorps&autres,TOPO TA cloning kit ,,3024704,K4575-40,,GRM,967.26
plastique,Transfer Pipets,pk/500,21983,,,GRM,14.05
anticorps&autres,Tris,5 kg,3017601,TRS001,Bioshop,GRM,63
four. bureau,Trombones Argenté dentelés 2,pk/100,59433,,Corporate Express,GRM,0.23
four. bureau,trombones argentés,,26209,,Corporate Express,GRM,0.15
anticorps&autres,trypan blue stain 0.4%,100 ml,88662,15250-061,Invitrogen,GRM,11
anticorps&autres,Trypsin 2.5 %,100 ml,3013137,15090-046,Invitrogen,GRM,11.2
plastique,"Tube, Ultra-Clear, 5 mL, 13 x 51 mm",pk/100,,344057,BD,GRM,98.45
plastique,Tubes 0.5mL,pk/100,3014861,"72,730,006",Sarstedt,GRM,23
plastique,Tubes 1.5 eppendorf,cs/1000,50267,,Sarstedt,GRM,12
plastique,Tubes 1.5 ml,cs/1000,999904,72.690,Sarstedt,GRM,26
plastique,Tubes 30 mL PP,pk/100,69171,BP337-500,,GRM,90.07
plastique,tubes 5 ml sans bouchon polystyrene,,3002322,352008,VWR,GRM,46.8
plastique,Tubes à prélèvement 10mL lavandes,pk/100,3000011,CABD366457,VWR,GRM,9.98
plastique,tubes falcon 15 ml,caisse,41297,62554002,Sarstedt,GRM,90
plastique,Tubes gradues 15 ml,,80717,352097,VWR,GRM,80
plastique,Tubes lavandes 10 ml EDTA en plastique,bte/100 ,3033078,366643,BD,GRM,26.77
plastique,tubes PCR 0.5ml,sc/500,3012295,72.735,Sarstedt,GRM,23.75
plastique,Tubes vacutainer 10mL rouge,pk/100,,367820,BD,GRM,11.2
anticorps&autres,Vironostika® HIV-1 Antigen,192 test,3011511,284033,biomerieux,GRM,594.83
plastique,Weigh boat large,500/box,11-3622,,ultident,GRM,51.95
plastique,Weigh boat medium,500/box,11-3621,,ultident,GRM,26.95
plastique,Weigh boat small,500/box,11-3620,,ultident,GRM,16.95
anticorps&autres,Anti Human DR5 PE,100 Tests,307406,,,groovy blue genes biotech,463
anticorps&autres,Mouse Anti-Human Fas-L (CD178) ,100 tests,306407,,,groovy blue genes biotech,463
anticorps&autres,"Mouse PE IgG2b, k",25µg,400311,,,groovy blue genes biotech,75
anticorps&autres,PE anti mouse CCR7,50µg,120105,,,groovy blue genes biotech,278
anticorps&autres,PE anti mouse CCR7,200µg,120106,,,groovy blue genes biotech,648
anticorps&autres,PE anti-mouse,50mg,111507,,,groovy blue genes biotech,195
anticorps&autres,IGEPAL CA-630,100ml,198596,,,icn,29.9
anticorps&autres,Z-Asp(OMe)-Glu(OMe)-Val-Asp(OMe)-FMK,1 mg,FK010,FK010,,icn,280
anticorps&autres,mouser monoclonal antibody to human CD86,100ug,IDAC1250,IDAC1250,,id labs,343
four. labo,Brucelles suisse,1,HB105,HB105,,instrumentarium,39.5
four. labo,Brucelles suisse,1,HB107,HB107,,instrumentarium,48.1
four. labo,Ciseaux IRIS,,130.450.09,130.450.09,,instrumentarium,9.9
four. labo,pinces,,12.717.10,12.717.10,,instrumentarium,13.8
four. labo,Pinces à dissection fine,1,HB 427,HB 427,,instrumentarium,22.5
four. labo,pinces fines,,HB 105,HB 105,,instrumentarium,39.5
anticorps&autres,monoclonal mouse anti transferrin receptor,500ug,13-6890,13-6890,,inter-medico,1219
anticorps&autres,rabbit anti-steap,0.5 ml,18-7385,18-7385,,inter-medico,611
anticorps&autres,rabbit anti-STEAP,0.5ml,18-7385,18-7385,,inter-medico,611
anticorps&autres,Rabbit antu IRF7,100µg,513300,513300,,inter-medico,388
anticorps&autres,1 kb DNA ladder,250 ug,15615-016,,,Invitrogen,129.95
anticorps&autres,10 bp DNA Ladder,250 ug,10821-015,52242,GRM,Invitrogen,127.5
anticorps&autres,100 bp dna ladder,250 ug,15628-050,3015312,GRM,Invitrogen,235.75
anticorps&autres,100 mM dTTP,25µmo,10219-012,,,Invitrogen,54.6
anticorps&autres,25 bp DNA Ladder,vial,10597-011,3003446,GRM,Invitrogen,120.95
anticorps&autres,250 bp DNA Ladder,75 microg,10596-013,,,Invitrogen,107.38
anticorps&autres,"AIM V® Medium, liquid (Research Grade)",500 ml,12055-091,3030961,GRM,Invitrogen,30.9
anticorps&autres,AIMVr Medium,1L/Bouteille,12055-083,,,Invitrogen,107.45
anticorps&autres,Alexa Fluor 488 goat anti hamster IgG (H+L) 2mg/ml,0.5 ml,A21110,,,Invitrogen,158.35
anticorps&autres,Alexa Fluor 594-5 (or-7),dUTP,C11400,,,Invitrogen,363.9
anticorps&autres,Alexa Fluor 680,,A-20172,,,Invitrogen,354.2
anticorps&autres,Alexa Fluor® 647 goat anti-human IgG (H+L) *2 mg/mL*,0.5ml,A21445,,,Invitrogen,158.35
anticorps&autres,Antibiotic-Antimycotic (100X),Liquid bout /100ml,15240-062,52159,GRM,Invitrogen,12.3
anticorps&autres,BamHI,10000u,15201-031,3025711,GRM,Invitrogen,133
four. labo,Benchmark,,10748-010,,,Invitrogen,115
anticorps&autres,Bgl II,2000 u,15213-028,,,Invitrogen,51.35
anticorps&autres,BLOCK-iT Lentiviral RNAi Expression system,1 kit,K4944-00,,,Invitrogen,1719.5
anticorps&autres,Bovine serum,500 ml,16170-078,3012138,GRM,Invitrogen,49.2
anticorps&autres,calcium phosp. transfection,75 rx,K2780-01,,,Invitrogen,0
anticorps&autres,Cascade Yellow Streptavidin conjugate ,1mg,S11228,,,Invitrogen,200
anticorps&autres,cell dissociation buffer PBS-based,100 ml,13151-014,,,Invitrogen,24.5
anticorps&autres,Cell Traker Orange CMRA,20X50ug,C34551,3028594,GRM,Invitrogen,284.75
anticorps&autres,Cellfectin,1 ml,10362-010,,,Invitrogen,0
anticorps&autres,CFSE,25mg,C1157,3022372,GRM,Invitrogen,225.15
anticorps&autres,ChargeSwitch total RNA Cell Kit Sample Size,10 purifications,CS14010S,,,Invitrogen,259
anticorps&autres,clone shopping cart,,IOH7558,HORF01,,Invitrogen,685
anticorps&autres,DB3.1,1ml,11782-018,,,Invitrogen,203.98
anticorps&autres,DH5 Chemically Competent Cells,bout/2ml,18265-017,52216,GRM,Invitrogen,35.95
anticorps&autres,DMRIE-C Reagent,1 mL,10459-014,,,Invitrogen,188.9
anticorps&autres,"Dnase I, Amplifacation Grade",100unit,18068-015,67840,GRM,Invitrogen,104.55
anticorps&autres,dNTP 10mM Mix,100ul,18427-013,,,Invitrogen,62.95
anticorps&autres,dNTP set,4*25µmol,10297-018,52194,GRM,Invitrogen,118.9
anticorps&autres,Eco R V,2000 u,15425-010,,,Invitrogen,37.55
anticorps&autres,EcoRI,5000U,15202-013,52173,GRM,Invitrogen,23.37
anticorps&autres,EcoRI,20000u,15202-021,,,Invitrogen,90
anticorps&autres,Essential amino acid,100ml/Bouteille,11130-051,3016251,GRM,Invitrogen,20.14
anticorps&autres,FITC Isomer I,10x10mg,F1906,,,Invitrogen,90
anticorps&autres,Glycogene,100ul,10814-010,,,Invitrogen,71.81
anticorps&autres,HEPES Buffer solution,100 ml,15630-080,52160,GRM,Invitrogen,44.65
anticorps&autres,HEPES Buffer Solution 1M,6 x 100 ml,15630-114,,,Invitrogen,366.4
anticorps&autres,Hind III,10000 U,15207-012,52175,GRM,Invitrogen,24.09
anticorps&autres,Hpa I,500 U,15208-028,,,Invitrogen,66.95
anticorps&autres,Hpa I,1000 u,15209-018,,,Invitrogen,71.25
anticorps&autres,Kanamicyn Sulfate,100 ml,15160-054,,,Invitrogen,56
anticorps&autres,Kanamycine sulfate,5g,11815-024,,,Invitrogen,79.95
anticorps&autres,lamda DNA HindIII fragment,500µg,15612-013,,,Invitrogen,117
anticorps&autres,L-Glutamine-200 mM 100X,,25030-081,52161,GRM,Invitrogen,13.27
anticorps&autres,"LinearFlow Deep Red Flow Cytometry Intensity Calibration Kit, 6.0um",kit,L-14819,,,Invitrogen,268.1
anticorps&autres,Lipofectamine 2000,1.5ml,11668-019,52254,GRM,Invitrogen,296
anticorps&autres,Lipofectamine 2000,750ul,11668-027,88490,GRM,Invitrogen,291.15
anticorps&autres,Lipofectin,1 ml,18292-011,,,Invitrogen,236
anticorps&autres,Luria Broth (LB),2.5kg,12795-084,3031250,GRM,Invitrogen,234
anticorps&autres,MEM non-essential amino acids solution,100ml,11140-050,87901,GRM,Invitrogen,14.95
anticorps&autres,Minimum Essential Medium (MEM),Powder,61100-087,,,Invitrogen,22
anticorps&autres,MitoProbe™ JC-1 Assay Kit,100 assays,M34152,,,Invitrogen,420
anticorps&autres,Mlu I,1000 u,15432-016,,,Invitrogen,44.7
